Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
JT Thor,22,CLE,PF,9,0,4.7,1,1.7,0.6,0.3,0.7,0.5,0.7,1,0.667,0.7,0.8,0.9,0.875,0.3,0.3,0.7,0.1,0.2,0.3,0.7,0.7,3.1
Jaylon Tyson,22,CLE,SG,37,2,9.5,1.2,2.6,0.458,0.4,1,0.368,0.8,1.6,0.517,0.531,0.4,0.5,0.778,0.8,1.3,2.1,0.9,0.2,0.1,0.5,1.1,3.1
Collin Gillespie,25,PHX,PG,9,0,5,1.1,2,0.556,0.3,0.7,0.5,0.8,1.3,0.583,0.639,0.4,0.6,0.8,0.3,0.4,0.8,0.8,0.2,0.2,0.2,0.4,3
Kylor Kelley,27,DAL,C,8,1,8.4,1.3,1.6,0.769,0,0,,1.3,1.6,0.769,0.769,0.5,0.8,0.667,1,1.6,2.6,0.3,0,0.3,0.1,1,3
Maxi Kleber,33,DAL,PF,34,4,18.7,1.1,2.8,0.385,0.4,1.4,0.265,0.7,1.4,0.511,0.453,0.5,0.6,0.762,0.7,2.1,2.8,1.3,0.3,0.5,0.7,1.9,3
Taze Moore,26,POR,SG,2,0,10,1,5,0.2,0.5,2,0.25,0.5,3,0.167,0.25,0.5,1,0.5,2,2,4,0.5,1,0,1,0,3
Adem Bona,21,PHI,C,38,1,10.8,1.1,1.6,0.695,0,0,,1.1,1.6,0.695,0.695,0.7,1.2,0.636,1,1.7,2.7,0.3,0.2,0.7,0.7,1.8,2.9
Jae Crowder,34,SAC,PF,7,2,13.1,0.9,2.4,0.353,0.4,1.7,0.25,0.4,0.7,0.6,0.441,0.7,0.9,0.833,0.9,1.6,2.4,0.6,0.4,0,0.6,1.4,2.9
Taj Gibson,39,CHA,C,24,11,11.9,1.2,2.6,0.46,0,0.1,0.5,1.2,2.5,0.459,0.468,0.5,0.7,0.688,1.6,2.3,3.9,0.6,0.3,0.5,0.8,1.6,2.9
Caleb Houstan,22,ORL,SF,38,5,11.7,0.9,2.8,0.33,0.8,2.4,0.326,0.1,0.4,0.357,0.472,0.3,0.3,0.909,0.3,0.7,1,0.4,0.2,0.1,0.1,1,2.9
Tyler Smith,20,MIL,PF,15,0,5,1.1,2.3,0.5,0.5,1.3,0.4,0.6,0.9,0.643,0.618,0.1,0.3,0.5,0.3,1,1.3,0.3,0.1,0.2,0.4,0.5,2.9
Jarred Vanderbilt,25,LAL,PF,11,0,15.3,1.2,2.6,0.448,0.2,0.7,0.25,1,1.9,0.524,0.483,0.4,0.9,0.4,1.8,3.6,5.5,1.2,1.2,0.1,0.9,1.8,2.9
Blake Wesley,21,SAS,SG,34,0,8.6,1.1,2.5,0.464,0.1,0.7,0.217,1,1.8,0.557,0.494,0.5,0.7,0.739,0.2,0.5,0.7,1.8,0.4,0.1,0.8,0.5,2.9
Branden Carlson,25,OKC,C,19,0,5.6,1,2.1,0.487,0.7,1.6,0.452,0.3,0.4,0.625,0.667,0.1,0.1,1,0.3,1.1,1.4,0.3,0.1,0.3,0.2,0.6,2.8
Mason Jones,26,SAC,SG,6,0,5.2,1.2,2.2,0.538,0.2,1,0.167,1,1.2,0.857,0.577,0.3,0.5,0.667,0.3,1,1.3,1.7,0,0,0.2,0.3,2.8
Pat Spencer,28,GSW,PG,25,0,7.2,1.1,2.8,0.394,0.1,0.6,0.143,1,2.3,0.456,0.408,0.4,0.6,0.733,0.4,1,1.4,1.5,0.4,0.1,0.5,0.6,2.8
AJ Johnson,20,WAS,SG,10,0,7,1.1,2.7,0.407,0.4,1,0.4,0.7,1.7,0.412,0.481,0.1,0.2,0.5,0,0.9,0.9,1.2,0.1,0,0.5,0.5,2.7
Drew Peterson,25,BOS,PF,14,0,9.1,0.9,1.8,0.48,0.6,1.4,0.421,0.3,0.4,0.667,0.64,0.4,0.5,0.857,0.4,1.6,1.9,0.8,0.1,0.1,0.4,0.9,2.7
Zeke Nnaji,24,DEN,PF,36,2,8.6,1.1,2.2,0.494,0.2,0.8,0.214,0.9,1.4,0.647,0.532,0.3,0.4,0.6,0.4,1.1,1.4,0.3,0.3,0.4,0.2,0.9,2.6
Trey Jemison,25,LAL,C,25,0,9.7,1.1,2.1,0.519,0,0,,1.1,2.1,0.519,0.519,0.4,1,0.36,1.2,1.5,2.7,0.5,0.3,0.4,0.6,1.8,2.5
Kobe Brown,25,LAC,PF,24,0,7.8,1.1,2.3,0.481,0.2,0.8,0.211,0.9,1.5,0.629,0.519,0.2,0.2,0.8,0.6,1.4,2,0.7,0.2,0.1,0.3,0.7,2.5
John Konchar,28,MEM,SG,30,3,12.6,0.9,2.2,0.424,0.5,1.5,0.326,0.4,0.7,0.65,0.538,0.2,0.2,0.833,0.9,2.6,3.5,1,0.5,0.4,0.3,0.8,2.5
E.J. Liddell,24,CHI,PF,6,0,5.2,0.8,1.3,0.625,0.5,1,0.5,0.3,0.3,1,0.813,0.3,0.3,1,0.2,0.7,0.8,0.5,0.2,0.2,0.3,1.3,2.5
Duop Reath,28,POR,C,27,0,5.5,0.9,2.1,0.414,0.4,1.4,0.316,0.4,0.7,0.6,0.517,0.3,0.4,0.8,0.4,0.6,1,0.3,0,0.1,0.2,0.6,2.5
Jackson Rowe,28,GSW,PF,4,0,8.5,1,3,0.333,0.5,2.3,0.222,0.5,0.8,0.667,0.417,0,0.5,0,0,1.8,1.8,0.8,0.8,0,0,1,2.5
Delon Wright,32,NYK,PG,29,2,14.4,0.8,2.9,0.274,0.4,1.7,0.24,0.4,1.2,0.324,0.345,0.4,0.7,0.55,0.5,1.1,1.6,1.7,0.8,0.3,0.5,0.6,2.4
Johnny Davis,22,WAS,SG,34,0,7.1,0.9,2.3,0.41,0.2,0.9,0.241,0.7,1.4,0.51,0.455,0.3,0.4,0.6,0.3,0.8,1.1,0.3,0.4,0.2,0.2,0.5,2.4
Josh Minott,22,MIN,SF,34,0,6.6,0.9,2.1,0.451,0.2,0.9,0.226,0.7,1.2,0.625,0.5,0.3,0.4,0.846,0.3,0.8,1.1,0.4,0.4,0.3,0.2,0.8,2.4
Markieff Morris,35,LAL,PF,10,0,6.1,0.8,3.2,0.25,0.5,2,0.25,0.3,1.2,0.25,0.328,0.2,0.2,1,0,0.9,0.9,0.7,0.1,0.1,0.3,0.5,2.3
Vlatko Čančar,27,DEN,PF,4,0,8.5,1,1.8,0.571,0.3,0.5,0.5,0.8,1.3,0.6,0.643,0,0,,0.8,1.3,2,0,0,0.3,0.5,1,2.3
Lester Quiñones,24,PHI,SG,4,0,4.3,1,2,0.5,0,0.8,0,1,1.3,0.8,0.5,0.3,0.3,1,0.8,0.3,1,0.3,0,0,1,0,2.3
Rayan Rupert,20,POR,SG,38,0,7.9,0.8,2.1,0.4,0.3,0.9,0.278,0.6,1.2,0.5,0.463,0.4,0.5,0.75,0.6,0.7,1.2,0.5,0.2,0.1,0.5,0.6,2.3
MarJon Beauchamp,24,LAC,SF,29,0,4.8,0.8,1.9,0.407,0.3,0.8,0.375,0.4,1,0.433,0.491,0.4,0.6,0.688,0.3,0.9,1.2,0.3,0.1,0,0.5,0.4,2.2
Kessler Edwards,24,DAL,SF,28,8,11.4,0.9,2.2,0.419,0.3,0.9,0.269,0.7,1.3,0.528,0.476,0.1,0.1,1,0.4,1.9,2.4,0.9,0.4,0.4,0.3,1.2,2.2
Dillon Jones,23,OKC,SF,36,0,9,0.8,2.4,0.333,0.3,1.3,0.208,0.5,1.1,0.487,0.391,0.3,0.6,0.55,0.6,1.4,2,1,0.2,0.1,0.4,1,2.2
Kai Jones,24,LAC,C,28,0,7.4,0.9,1.3,0.722,0,0.1,0,0.9,1.2,0.765,0.722,0.3,0.4,0.75,0.5,1.1,1.6,0.4,0.2,0.5,0.4,0.8,2.2
Christian Koloko,24,LAL,C,29,0,8.5,1,1.5,0.651,0,0.1,0,1,1.4,0.683,0.651,0.2,0.3,0.875,1,1.2,2.2,0.4,0.2,0.3,0.2,1.1,2.2
A.J. Lawson,24,TOR,SG,5,0,3.2,0.8,1.6,0.5,0.4,1,0.4,0.4,0.6,0.667,0.625,0.2,0.6,0.333,0.2,0.6,0.8,0,0,0,0,0,2.2
Patrick Baldwin Jr.,22,WAS,SF,22,0,4.6,0.8,1.5,0.515,0.5,1,0.524,0.3,0.5,0.5,0.682,0.1,0.2,0.5,0.2,0.8,1,0.1,0.1,0.1,0.2,0.2,2.1
Chris Duarte,27,CHI,SG,17,0,4.4,0.7,1.5,0.462,0.4,0.9,0.4,0.4,0.6,0.545,0.577,0.4,0.5,0.75,0.3,0.9,1.2,0.5,0,0,0.1,0.4,2.1
Pete Nance,24,PHI,C,7,0,9.7,0.7,2.1,0.333,0.6,1.7,0.333,0.1,0.4,0.333,0.467,0.1,0.3,0.5,0.3,1.1,1.4,0.4,0.1,0,0,1.4,2.1
Hunter Tyson,24,DEN,PF,40,0,7.7,0.7,1.9,0.365,0.4,1.2,0.306,0.3,0.6,0.48,0.466,0.4,0.6,0.696,0.4,1.2,1.5,0.4,0.1,0.1,0.3,0.9,2.1
Reece Beekman,23,BKN,PG,23,0,10,0.8,2.3,0.352,0.2,0.9,0.19,0.7,1.4,0.455,0.389,0.2,0.4,0.556,0.2,0.4,0.7,1.3,0.6,0.1,0.5,0.7,2
Keion Brooks Jr.,24,NOP,SF,2,0,5,0.5,1,0.5,0,0.5,0,0.5,0.5,1,0.5,1,2,0.5,0.5,1,1.5,0.5,0,0,0,0.5,2
Yuri Collins,23,GSW,PG,1,0,6,1,3,0.333,0,0,,1,3,0.333,0.333,0,0,,1,1,2,1,1,0,0,3,2
Jalen Hood-Schifino,21,LAL,SG,2,0,7,0.5,0.5,1,0,0,,0.5,0.5,1,1,1,1,1,0.5,0,0.5,0.5,0,0.5,0.5,1.5,2
Alex Reese,25,OKC,PF,1,0,2,1,1,1,0,0,,1,1,1,1,0,0,,1,0,1,0,0,0,0,0,2
Adama Sanogo,22,CHI,C,4,0,5.3,1,1.8,0.571,0,0,,1,1.8,0.571,0.571,0,0,,1.3,0.3,1.5,0.3,0,0,0.3,0.3,2
Jaden Springer,22,UTA,SG,28,0,5.6,0.5,1.3,0.405,0.3,0.7,0.35,0.3,0.6,0.471,0.5,0.6,0.8,0.739,0.2,0.8,0.9,0.4,0.4,0,0.2,0.6,1.9
Pacome Dadiet,19,NYK,SG,14,0,6.8,0.6,1.9,0.333,0.4,1.2,0.353,0.2,0.7,0.3,0.444,0.1,0.2,0.667,0,1,1,0.4,0.2,0.1,0.1,0.4,1.9
Cory Joseph,33,ORL,PG,32,0,7.3,0.7,1.9,0.355,0.5,1.3,0.349,0.2,0.6,0.368,0.476,0.1,0.1,0.5,0.2,0.5,0.7,0.8,0.3,0.1,0.3,0.6,1.9
Jordan McLaughlin,28,SAS,PG,31,0,6.3,0.5,1.5,0.378,0.4,0.9,0.407,0.2,0.6,0.333,0.5,0.4,0.5,0.688,0.1,0.5,0.7,0.8,0.4,0,0.4,0.5,1.8
Cam Christie,19,LAC,SG,6,0,5.2,0.7,2,0.333,0.3,1.3,0.25,0.3,0.7,0.5,0.417,0.2,0.3,0.5,0.2,0.8,1,0.3,0.3,0,0.3,0.3,1.8
Anthony Gill,32,WAS,PF,38,0,5.7,0.6,1.2,0.511,0.2,0.4,0.375,0.4,0.8,0.586,0.578,0.4,0.7,0.607,0.2,0.7,0.8,0.2,0.2,0.1,0.2,0.5,1.8
Tyler Kolek,23,NYK,PG,29,0,5.1,0.6,1.6,0.383,0.4,1,0.393,0.2,0.7,0.368,0.5,0.2,0.2,1,0.1,0.4,0.5,0.8,0.2,0,0.3,0.4,1.8
Leonard Miller,21,MIN,SF,8,0,2.8,0.4,1.5,0.25,0,0.6,0,0.4,0.9,0.429,0.25,1,1,1,0.4,0.9,1.3,0,0.1,0.1,0.3,0.3,1.8
David Duke Jr.,25,SAS,SG,3,0,5,0.7,2.3,0.286,0,0.3,0,0.7,2,0.333,0.286,0.3,0.7,0.5,0,0.7,0.7,0.7,0,0,0.3,0.3,1.7
Enrique Freeman,24,IND,PF,19,1,7.3,0.6,1.3,0.48,0.1,0.3,0.167,0.6,1,0.579,0.5,0.4,0.7,0.538,0.3,0.7,1,0.4,0.1,0.1,0.3,0.9,1.7
Johnny Furphy,20,IND,SG,36,0,6.9,0.6,1.6,0.368,0.3,0.9,0.344,0.3,0.7,0.4,0.465,0.3,0.3,1,0.5,0.6,1.1,0.3,0.3,0.2,0.3,0.7,1.7
Ariel Hukporti,22,NYK,C,24,0,8.4,0.7,1.1,0.654,0,0,,0.7,1.1,0.654,0.654,0.3,0.5,0.462,0.5,1.5,2,0.5,0,0.6,0.8,1.2,1.7
Keshad Johnson,23,MIA,SF,10,0,5.7,0.7,1.2,0.583,0.1,0.4,0.25,0.6,0.8,0.75,0.625,0.1,0.6,0.167,0.2,1.5,1.7,0.3,0.1,0.4,0.3,0.5,1.6
Bryce McGowens,22,POR,SG,8,0,2.6,0.5,0.9,0.571,0,0.3,0,0.5,0.6,0.8,0.571,0.6,0.8,0.833,0.1,0,0.1,0.1,0.1,0,0.4,0.3,1.6
JeriCHA Sims,26,MIL,C,42,5,11.2,0.7,1.1,0.604,0,0,,0.7,1.1,0.604,0.604,0.2,0.3,0.615,1.3,2,3.3,0.6,0.2,0.3,0.6,1.2,1.6
Tristan Thompson,33,CLE,C,30,0,7.6,0.7,1.6,0.429,0,0.1,0,0.7,1.5,0.457,0.429,0.2,0.7,0.227,0.6,2.3,2.9,0.7,0,0.3,0.4,0.9,1.6
Armel Traoré,22,LAL,SF,9,0,7.4,0.7,2.1,0.316,0,0.8,0,0.7,1.3,0.5,0.316,0.2,0.8,0.286,0.2,1.4,1.7,0.1,0.4,0.2,0.3,0.7,1.6
Jazian Gortman,21,DAL,PG,16,0,3.6,0.6,1.4,0.391,0.3,0.7,0.364,0.3,0.8,0.417,0.478,0.1,0.3,0.5,0.1,0.3,0.3,0.4,0.1,0.1,0.3,0.6,1.5
Quincy Olivari,23,LAL,PG,2,0,5,0.5,2.5,0.2,0.5,2.5,0.2,0,0,,0.3,0,0,,0,0,0,0.5,0,0,0.5,0,1.5
Dwight Powell,33,DAL,C,33,0,7.6,0.4,0.5,0.778,0,0,1,0.4,0.5,0.765,0.806,0.6,0.9,0.667,0.7,1.1,1.8,0.7,0.4,0.5,0.2,1.2,1.5
Matt Ryan,27,NYK,SF,19,0,3.6,0.5,1.6,0.323,0.3,1,0.316,0.2,0.6,0.333,0.419,0.1,0.1,1,0,0.4,0.4,0.2,0.1,0,0.2,0.1,1.5
Jordan Walsh,20,BOS,PF,38,1,7.5,0.5,1.5,0.357,0.3,1,0.282,0.2,0.4,0.529,0.455,0.2,0.3,0.583,0.3,0.7,1.1,0.3,0.2,0.2,0.2,0.5,1.5
Colin Castleton,24,MEM,C,10,0,4.6,0.2,1,0.2,0,0.4,0,0.2,0.6,0.333,0.2,1,1.1,0.909,0.3,0.6,0.9,0,0.1,0.1,0.1,0.6,1.4
Alex Ducas,24,OKC,SG,16,0,4.6,0.5,1.4,0.364,0.4,1,0.438,0.1,0.4,0.167,0.523,0,0,,0.3,0.6,0.9,0.1,0.1,0,0.1,0.3,1.4
Adam Flagler,25,OKC,SG,22,0,4.2,0.5,2.5,0.218,0.3,2,0.159,0.2,0.5,0.455,0.282,0,0,,0.1,0.2,0.4,0,0.2,0.1,0,0.4,1.4
Bronny James,20,LAL,SG,17,0,4.2,0.4,1.6,0.25,0.2,0.8,0.231,0.2,0.9,0.267,0.304,0.4,0.5,0.667,0.1,0.4,0.4,0.5,0.2,0.1,0.3,0.4,1.4
Alex Len,31,LAL,C,39,3,7.5,0.6,1.2,0.522,0,0.2,0.167,0.6,1,0.575,0.533,0.2,0.3,0.538,0.7,1.2,1.9,0.8,0.2,0.5,0.3,1,1.4
Sidy Cissoko,20,SAS,SF,17,0,3.2,0.5,1.1,0.5,0.2,0.4,0.429,0.4,0.6,0.545,0.583,0.1,0.4,0.167,0.2,0.4,0.6,0.4,0.1,0,0.1,0.4,1.3
Jack McVeigh,28,HOU,PF,6,0,3.5,0.5,1.8,0.273,0.3,1.3,0.25,0.2,0.5,0.333,0.364,0,0,,0.2,0.5,0.7,0.2,0,0.2,0.2,0.2,1.3
JD Davison,22,BOS,PG,5,0,4.8,0.4,1,0.4,0.2,0.6,0.333,0.2,0.4,0.5,0.5,0.2,0.4,0.5,0,0.4,0.4,0.2,0.2,0,1.2,0.2,1.2
Yuki Kawamura,23,MEM,PG,20,0,3.2,0.4,1.1,0.364,0.2,0.8,0.25,0.2,0.3,0.667,0.455,0.2,0.3,0.667,0,0.4,0.4,0.7,0.1,0,0.2,0.4,1.2
Chris Livingston,21,MIL,SF,12,1,4.8,0.4,1.1,0.385,0,0.3,0,0.4,0.8,0.556,0.385,0.3,0.5,0.667,0.5,1.1,1.6,0.1,0.3,0,0.4,0.3,1.2
Colby Jones,22,SAC,SG,24,0,5.4,0.5,1.1,0.423,0.2,0.4,0.4,0.3,0.7,0.438,0.5,0,0,,0.3,0.6,1,0.3,0.3,0.3,0.3,0.5,1.1
Trey Alexander,21,DEN,SG,18,0,4.4,0.4,1.3,0.292,0.1,0.6,0.2,0.3,0.8,0.357,0.333,0.1,0.1,1,0,0.5,0.5,0.4,0.1,0.1,0.2,0.4,1
Isaiah Crawford,23,SAC,SF,5,0,3.6,0.4,0.8,0.5,0,0.2,0,0.4,0.6,0.667,0.5,0.2,0.4,0.5,0,1,1,0,0,0,0,0.2,1
PJ Hall,22,DEN,C,15,0,3.1,0.4,0.9,0.429,0,0.3,0,0.4,0.6,0.667,0.429,0.2,0.3,0.75,0.3,0.8,1.1,0.2,0,0.1,0.1,0.4,1
Emoni Bates,21,CLE,SF,7,0,3.9,0.3,2,0.143,0.3,1.6,0.182,0,0.4,0,0.214,0,0,,0,0,0,0.6,0.1,0,0,0.3,0.9
Joe Ingles,37,MIN,SF,16,0,6.4,0.4,1.2,0.316,0.2,0.8,0.25,0.2,0.4,0.429,0.395,0,0,,0.1,0.6,0.7,1.3,0.1,0,0.4,0.6,0.9
Xavier Tillman Sr.,26,BOS,C,27,1,7.3,0.4,1.5,0.244,0.1,0.9,0.174,0.2,0.7,0.333,0.293,0,0.1,0.5,0.3,1,1.3,0.3,0.3,0.2,0.3,0.6,0.9
Luke Travers,23,CLE,SG,9,0,6.1,0.3,1.2,0.273,0,0.4,0,0.3,0.8,0.429,0.273,0.2,0.2,1,0.6,0.8,1.3,0.6,0.1,0.1,0.6,0.4,0.9
Jaylen Martin,21,WAS,SF,4,0,1.8,0.3,1,0.25,0.3,0.3,1,0,0.8,0,0.375,0,0,,0.3,0.3,0.5,0,0,0,0,0.3,0.8
Jared Rhoden,25,TOR,SG,5,0,2.6,0.4,1.8,0.222,0,0.4,0,0.4,1.4,0.286,0.222,0,0,,0.4,0.4,0.8,0.4,0.2,0,0.2,0.2,0.8
Jalen Bridges,23,PHX,SF,5,0,5,0.2,0.8,0.25,0.2,0.8,0.25,0,0,,0.375,0.2,0.4,0.5,0,0.6,0.6,0,0,0,0.8,0,0.8
D.J. Carton,24,TOR,SG,4,0,8.3,0.3,1.8,0.143,0,0.8,0,0.3,1,0.25,0.143,0.3,0.3,1,0,1,1,0.8,0.5,0,1,0.3,0.8
Josh Christopher,23,MIA,SG,8,0,3.5,0.3,0.9,0.286,0,0.1,0,0.3,0.8,0.333,0.286,0.3,0.5,0.5,0,0.4,0.4,0.5,0,0.1,0.5,0.1,0.8
RayJ Dennis,23,IND,PG,6,0,1.8,0.2,0.5,0.333,0.2,0.5,0.333,0,0,,0.5,0.3,0.3,1,0.2,0.3,0.5,0.2,0.3,0,0.3,0.2,0.8
PJ Dozier,28,MIN,SG,9,0,3.9,0.2,0.3,0.667,0.2,0.3,0.667,0,0,,1,0.1,0.7,0.167,0.1,0.4,0.6,0.6,0.1,0,0.1,0.3,0.8
James Johnson,37,IND,PF,10,0,3.2,0.4,0.9,0.444,0,0.3,0,0.4,0.6,0.667,0.444,0,0.1,0,0,0.5,0.5,0.4,0,0.2,0.4,0.4,0.8
Maxwell Lewis,22,BKN,SF,10,0,3.4,0.3,0.8,0.375,0.1,0.1,1,0.2,0.7,0.286,0.438,0,0,,0.2,0.1,0.3,0.2,0.1,0,0.2,0.1,0.7
Ulrich CHAmche,19,TOR,PF,7,0,4.6,0.3,0.7,0.4,0,0,,0.3,0.7,0.4,0.4,0.1,0.3,0.5,0.6,0.6,1.1,0.3,0,0.1,0.3,0.7,0.7
Liam Robbins,25,MIL,C,13,0,4.4,0.2,0.6,0.25,0,0.2,0,0.2,0.5,0.333,0.25,0.4,0.8,0.5,0.5,0.4,0.9,0.2,0.2,0.2,0.5,0.7,0.7
Baylor Scheierman,24,BOS,SG,13,0,5.7,0.2,1.5,0.158,0.1,1.1,0.071,0.2,0.4,0.4,0.184,0.2,0.2,1,0.2,1.2,1.4,0.5,0.2,0,0.1,0.5,0.7
Cui Yongxi,21,BKN,SG,5,0,2,0.2,1.4,0.143,0,0.6,0,0.2,0.8,0.25,0.143,0.2,0.4,0.5,0,0.4,0.4,0,0,0,0,0,0.6
Garrett Temple,38,TOR,SG,17,0,3.9,0.2,0.9,0.2,0.1,0.4,0.143,0.1,0.5,0.25,0.233,0.2,0.2,1,0.1,0.5,0.6,0.6,0.4,0.1,0.2,0.4,0.6
Stanley Umude,25,MIL,SG,19,0,3.2,0.2,1.1,0.2,0.1,0.6,0.182,0.1,0.5,0.222,0.25,0.1,0.2,0.5,0.2,0.5,0.7,0.1,0.2,0.1,0.1,0.3,0.6
Spencer Jones,23,DEN,SF,11,0,2.7,0.2,0.8,0.222,0.1,0.5,0.167,0.1,0.3,0.333,0.278,0,0,,0.2,0.3,0.5,0,0.3,0,0.2,0.4,0.5
Tristen Newton,23,MIN,SG,8,0,2,0.1,1,0.125,0,0.4,0,0.1,0.6,0.2,0.125,0.1,0.1,1,0.3,0.3,0.5,0.3,0.1,0,0.3,0.5,0.4
Jacob Toppin,24,NYK,SF,16,0,3.1,0.2,0.6,0.3,0,0.1,0,0.2,0.5,0.375,0.3,0,0,,0.1,0.6,0.7,0.3,0.1,0,0.1,0.2,0.4
Malevy Leons,25,OKC,SF,6,0,3.5,0,0.3,0,0,0.2,0,0,0.2,0,0,0.3,0.7,0.5,0.2,0.3,0.5,0.2,0,0,0.2,0.7,0.3
Daishen Nix,22,MIN,PG,3,0,4.3,0,0.3,0,0,0.3,0,0,0,,0,0.3,0.7,0.5,0,1.3,1.3,1,0,0,1.3,0.3,0.3
Harrison Ingram,22,SAS,SF,2,0,5.5,0,1,0,0,0.5,0,0,0.5,0,0,0,0,,0,1,1,0,0,0,0,0.5,0
Daniss Jenkins,23,DET,PG,4,0,2,0,1,0,0,1,0,0,0,,0,0,0,,0,0,0,0,0,0,0.3,0.3,0
Bobi Klintman,21,DET,SF,3,0,2.7,0,0.7,0,0,0.3,0,0,0.3,0,0,0,0,,0,0.7,0.7,0.3,0,0,0,0.7,0
Mac McClung,26,ORL,SG,1,0,5,0,0,,0,0,,0,0,,,0,0,,0,1,1,2,0,0,0,0,0
Jalen McDaniels,27,WAS,SF,1,0,6,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,1,0,0,0,0
Justin Minaya,25,POR,SF,6,0,3,0,0.2,0,0,0,,0,0.2,0,0,0,0,,0.3,0.2,0.5,0.3,0.2,0,0,0.5,0
Riley Minix,24,SAS,SF,1,0,7,0,1,0,0,1,0,0,0,,0,0,0,,0,2,2,0,0,0,0,0,0
Jahlil Okafor,29,IND,C,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,1,0,0,0,0,0
Chuma Okeke,26,PHI,PF,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0
Zyon Pullin,23,MEM,SG,3,0,1,0,0.3,0,0,0,,0,0.3,0,0,0,0,,0,0,0,0,0,0,0,0,0
Cole Swider,25,DET,SF,2,0,6.5,0,2.5,0,0,2.5,0,0,0,,0,0,0,,0,1,1,0.5,0,0,0,0.5,0
Lonnie Walker IV,26,PHI,SG,1,0,10,0,3,0,0,3,0,0,0,,0,0,0,,0,2,2,0,0,0,0,0,0