player,team,age,lt_5_ft_fgm,lt_5_ft_fga,lt_5_ft_fgpct,5_9_ft_fgm,5_9_ft_fga,5_9_ft_fgpct,10_14_ft_fgm,10_14_ft_fga,10_14_ft_fgpct,15_19_ft_fgm,15_19_ft_fga,15_19_ft_fgpct,20_24_ft_fgm,20_24_ft_fga,20_24_ft_fgpct,25_29_ft_fgm,25_29_ft_fga,25_29_ft_fgpct
Johnny Davis,WAS,22,0.6,0.9,64.3,0.1,0.4,30.8,0.1,0.2,33.3,0.0,0.0,0.0,0.1,0.5,20.0,0.1,0.5,31.3
Johnny Furphy,IND,20,0.3,0.7,42.9,0.0,0.1,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.7,33.3,0.1,0.4,36.4
Johnny Juzang,UTA,23,0.3,0.6,56.5,0.2,0.5,42.1,0.1,0.3,45.5,0.1,0.3,40.0,0.8,1.9,43.2,0.9,2.4,37.0
Jonas Valančiūnas,SAC,32,2.7,4.0,66.4,0.9,1.8,49.5,0.3,0.9,38.0,0.4,0.9,50.0,0.1,0.2,25.0,0.1,0.4,25.0
Jonathan Isaac,ORL,27,1.3,1.9,67.7,0.0,0.1,50.0,0.1,0.4,15.8,0.1,0.3,25.0,0.5,1.8,29.5,0.2,0.8,20.5
Jonathan Kuminga,GSW,22,3.5,5.3,66.1,0.9,2.5,35.4,0.4,1.4,26.7,0.1,0.4,21.4,0.4,1.4,29.5,0.8,2.2,38.6
Jonathan Mogbo,TOR,23,1.5,2.6,58.0,0.1,0.5,22.7,0.1,0.3,23.1,0.1,0.1,40.0,0.2,0.6,40.0,0.1,0.4,25.0
Jordan Clarkson,UTA,32,1.1,2.2,50.0,1.2,3.0,40.9,0.7,1.6,45.8,0.2,0.5,50.0,0.9,1.9,46.7,1.6,4.5,35.5
Jordan Goodwin,LAL,26,1.0,1.5,66.7,0.3,0.5,50.0,1.3,1.3,100,0.0,0.5,0.0,0.0,0.5,0.0,0.8,1.5,50.0
Jordan Hawkins,NOP,22,0.4,0.9,45.7,0.2,0.8,27.6,0.4,0.9,42.9,0.6,1.4,40.7,0.9,2.3,37.5,1.1,3.4,31.0
Jordan McLaughlin,SAS,28,0.1,0.2,33.3,0.1,0.2,33.3,0.0,0.1,25.0,0.0,0.0,0.0,0.3,0.7,40.0,0.2,0.4,41.7
Jordan Miller,LAC,25,1.2,2.2,54.1,0.4,0.8,47.6,0.1,0.3,42.9,0.0,0.0,0.0,0.1,0.6,17.6,0.2,0.6,26.3
Jordan Poole,WAS,25,2.5,3.9,63.4,0.4,1.5,27.4,0.3,0.9,30.2,0.1,0.6,25.9,0.5,1.3,36.1,2.6,6.9,38.3
Jordan Walsh,BOS,20,0.3,0.5,52.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,10.5,0.2,0.5,47.4
Jose Alvarado,NOP,26,0.6,1.2,51.3,0.3,0.9,26.7,0.3,0.4,69.2,0.1,0.3,33.3,0.7,1.7,41.8,1.4,3.7,39.0
Josh Christopher,MIA,23,0.1,0.4,33.3,0.1,0.3,50.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Josh Giddey,CHI,22,2.1,3.7,57.3,0.8,1.9,43.3,0.3,0.7,44.1,0.1,0.1,50.0,0.7,1.7,37.8,0.8,2.3,33.1
Josh Green,CHA,24,0.9,1.6,55.3,0.3,0.6,46.4,0.0,0.3,12.5,0.2,0.2,66.7,1.1,2.4,43.7,0.4,1.1,35.7
Josh Hart,NYK,29,3.8,5.3,72.5,0.2,0.6,35.3,0.3,0.5,50.0,0.2,0.3,52.9,0.4,1.5,28.0,0.7,1.8,39.2
Josh Minott,MIN,22,0.7,1.1,62.2,0.1,0.1,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.7,23.8,0.1,0.3,22.2
Josh Okogie,CHA,26,1.3,2.3,58.1,0.3,0.8,39.1,0.0,0.0,100,0.0,0.1,33.3,0.6,1.5,38.6,0.3,0.7,36.4
Josh Richardson,MIA,31,0.3,0.8,33.3,0.3,0.6,40.0,0.0,0.1,0.0,0.1,0.4,33.3,0.1,1.1,11.1,0.6,1.6,38.5
Jrue Holiday,BOS,34,1.5,2.5,61.6,0.4,0.8,48.6,0.2,0.4,35.0,0.1,0.2,50.0,0.6,2.1,30.2,1.1,2.9,38.6
Julian Champagnie,SAS,23,1.0,1.6,64.4,0.1,0.4,25.0,0.1,0.1,75.0,0.1,0.1,50.0,1.0,2.6,36.6,1.2,3.3,35.8
Julian Phillips,CHI,21,0.8,1.2,64.2,0.1,0.3,35.7,0.0,0.0,50.0,0.0,0.0,0.0,0.5,1.3,37.1,0.1,0.5,24.1
Julian Strawther,DEN,22,1.0,1.6,59.8,0.5,1.0,46.6,0.3,0.7,47.4,0.0,0.1,25.0,0.5,1.4,39.0,1.1,3.1,35.6
Julius Randle,MIN,30,3.3,5.1,64.6,0.9,2.2,41.5,0.6,1.5,37.0,0.3,0.5,56.0,0.6,2.2,28.6,0.9,2.4,35.9
Justin Champagnie,WAS,23,1.6,2.3,69.5,0.3,0.7,43.5,0.1,0.2,60.0,0.0,0.0,0.0,0.3,1.1,28.6,0.8,1.6,46.6
Justin Edwards,PHI,21,1.2,1.7,67.4,0.2,0.5,50.0,0.1,0.3,28.6,0.2,0.3,71.4,0.5,1.2,38.7,1.0,2.7,35.3
Justin Minaya,POR,25,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jusuf Nurkić,CHA,30,1.8,2.9,60.5,0.4,1.0,39.3,0.1,0.2,33.3,0.0,0.0,0.0,0.3,0.6,41.2,0.4,1.7,22.9
KJ Martin,UTA,24,1.8,2.8,66.7,0.3,0.4,77.8,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.8,44.4,0.0,0.2,16.7
KJ Simpson,CHA,22,1.0,1.9,55.0,0.4,1.3,29.6,0.1,0.5,10.0,0.1,0.4,28.6,0.1,0.7,14.3,0.6,2.4,24.0
Kai Jones,LAC,24,0.9,1.0,89.3,0.0,0.1,33.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karl-Anthony Towns,NYK,29,5.2,8.2,62.8,1.3,2.5,53.1,0.4,0.8,45.0,0.1,0.4,23.8,0.2,0.7,31.4,1.8,4.1,43.1
Karlo Matković,NOP,23,1.0,1.5,66.7,0.2,0.5,33.3,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.6,40.0,0.1,0.3,16.7
Kawhi Leonard,LAC,33,1.9,2.8,66.7,0.8,1.8,46.4,1.4,3.2,43.1,0.9,2.1,45.5,0.5,1.4,36.4,1.2,3.4,35.2
Keaton Wallace,ATL,25,0.6,0.9,65.0,0.3,0.6,50.0,0.3,0.5,50.0,0.1,0.5,20.0,0.3,0.8,31.6,0.8,2.0,38.3
Keegan Murray,SAC,24,1.8,2.5,74.8,0.5,1.4,37.5,0.3,0.8,36.6,0.2,0.4,42.9,0.7,2.2,33.3,1.1,3.4,32.6
Keion Brooks Jr.,NOP,24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
Kel'el Ware,MIA,20,2.4,3.6,66.2,0.4,0.8,43.3,0.1,0.4,35.7,0.0,0.1,0.0,0.2,0.6,33.3,0.5,1.3,37.5
Keldon Johnson,SAS,25,2.6,4.4,59.6,0.6,1.3,47.8,0.1,0.2,45.5,0.0,0.0,0.0,0.5,1.7,28.1,0.6,1.8,32.6
Kelly Olynyk,NOP,33,1.2,2.0,63.3,0.1,0.6,20.0,0.2,0.3,75.0,0.1,0.2,50.0,0.3,0.6,50.0,0.5,1.4,35.3
Kelly Oubre Jr.,PHI,29,3.4,5.4,62.2,0.8,1.7,47.7,0.2,0.7,23.7,0.1,0.1,80.0,0.5,1.7,31.4,0.6,2.4,26.0
Kenrich Williams,OKC,30,1.1,1.6,68.1,0.1,0.2,37.5,0.1,0.3,42.9,0.1,0.2,44.4,0.4,0.9,42.1,0.6,1.5,39.4
Kentavious Caldwell-Pope,ORL,32,0.8,1.1,69.4,0.1,0.3,35.7,0.2,0.3,52.6,0.5,0.8,55.6,0.7,2.2,33.9,0.8,2.6,29.6
Keon Ellis,SAC,25,0.7,1.0,73.1,0.2,0.4,40.9,0.0,0.2,22.2,0.1,0.1,60.0,0.8,1.8,45.3,0.9,2.3,41.8
Keon Johnson,BKN,22,1.6,3.0,53.5,0.4,1.1,36.8,0.1,0.4,31.8,0.1,0.1,50.0,0.6,2.3,26.6,0.9,2.9,30.7
Keshad Johnson,MIA,23,0.6,0.8,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.2,50.0
Kessler Edwards,DAL,24,0.6,1.0,59.1,0.0,0.1,33.3,0.1,0.2,33.3,0.0,0.0,0.0,0.3,0.8,33.3,0.0,0.3,14.3
Kevin Durant,PHX,36,2.0,2.8,72.3,1.3,2.3,56.3,2.8,5.1,53.7,1.4,2.3,59.2,0.9,2.0,47.0,1.5,4.0,38.3
Kevin Huerter,CHI,26,0.9,1.4,64.1,0.3,0.6,50.0,0.2,0.3,64.3,0.1,0.2,45.5,0.5,1.6,30.7,0.9,3.2,29.3
Kevin Love,MIA,36,0.6,1.6,40.0,0.1,0.3,16.7,0.0,0.1,0.0,0.0,0.0,0.0,0.2,1.2,18.2,0.9,2.0,47.2
Kevin Porter Jr.,MIL,24,1.3,2.2,60.7,0.5,1.2,42.6,0.7,1.4,47.1,0.6,1.6,40.3,0.3,0.7,45.5,0.4,1.8,20.7
Kevon Looney,GSW,29,1.9,3.2,58.4,0.1,0.4,22.7,0.1,0.2,27.3,0.1,0.3,26.7,0.0,0.0,0.0,0.0,0.0,0.0
Keyonte George,UTA,21,1.2,2.0,60.9,0.8,2.0,40.9,0.6,1.3,44.8,0.1,0.5,23.8,1.0,2.2,45.4,1.6,5.5,30.0
Khris Middleton,WAS,33,0.6,1.0,60.0,0.8,1.3,61.3,0.8,1.3,56.3,0.8,1.3,59.4,0.5,1.3,40.6,1.2,2.7,43.1
Killian Hayes,BKN,23,1.0,1.0,100,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
Klay Thompson,DAL,35,0.7,1.0,64.0,0.2,0.7,31.3,0.4,1.0,38.8,0.5,1.1,41.8,1.5,4.1,36.2,1.8,4.1,43.8
Kobe Brown,LAC,25,0.9,1.2,74.1,0.1,0.2,50.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.3,33.3,0.1,0.6,16.7
Kobe Bufkin,ATL,21,0.8,1.7,47.1,0.4,0.4,100,0.1,0.4,25.0,0.1,0.2,50.0,0.2,0.9,22.2,0.2,1.0,20.0
Kris Dunn,LAC,30,0.8,1.3,61.3,0.4,0.9,44.4,0.2,0.4,47.6,0.0,0.1,25.0,0.4,1.5,30.0,0.5,1.5,35.2
Kris Murray,POR,24,1.2,2.0,61.4,0.0,0.2,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,31.1,0.1,0.5,25.0
Kristaps Porziņģis,BOS,29,2.3,3.3,70.7,1.0,2.0,48.3,0.4,1.4,31.0,0.3,0.8,40.0,0.2,0.6,36.8,1.9,4.6,41.6
Kyle Anderson,MIA,31,0.8,1.2,66.7,0.6,1.5,43.1,0.1,0.4,26.7,0.1,0.4,23.1,0.3,0.7,39.3,0.2,0.6,36.4
Kyle Filipowski,UTA,21,1.4,2.0,68.1,0.3,0.7,41.9,0.2,0.2,87.5,0.0,0.0,0.0,0.4,1.2,35.8,0.3,0.8,31.6
Kyle Kuzma,MIL,29,2.8,4.4,64.7,1.1,2.8,37.7,0.4,1.1,40.0,0.2,0.7,26.9,0.6,1.8,35.3,0.7,3.0,24.3
Kyle Lowry,PHI,38,0.2,0.3,55.6,0.1,0.3,30.0,0.1,0.1,66.7,0.0,0.1,0.0,0.3,0.8,37.0,0.6,1.7,33.3
Kylor Kelley,DAL,27,1.1,1.4,80.0,0.0,0.0,0.0,0.2,0.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyrie Irving,DAL,32,2.8,4.5,63.7,1.5,3.1,47.9,0.9,2.1,44.2,0.7,1.8,39.8,1.2,2.5,47.4,1.7,4.6,37.9
Kyshawn George,WAS,21,0.8,1.6,53.9,0.2,0.6,33.3,0.0,0.2,22.2,0.0,0.1,33.3,0.6,1.5,38.4,1.0,3.4,28.1
LaMelo Ball,CHA,23,2.6,4.7,55.6,1.5,3.1,49.1,0.9,1.9,45.3,0.4,0.9,41.9,0.6,1.8,36.1,2.9,8.3,35.5
Landry Shamet,NYK,27,0.5,0.8,68.4,0.1,0.2,60.0,0.2,0.3,66.7,0.0,0.0,0.0,0.3,0.8,44.4,0.2,1.0,21.7
Larry Nance Jr.,ATL,32,1.5,2.2,66.0,0.3,0.7,37.5,0.1,0.2,40.0,0.1,0.1,66.7,0.7,1.5,44.4,0.8,1.7,47.5
Lauri Markkanen,UTA,27,2.4,3.6,65.1,0.7,1.8,40.5,0.2,0.5,34.8,0.1,0.4,20.0,1.1,2.8,38.7,1.8,5.5,32.9
LeBron James,LAL,40,4.4,6.2,70.1,1.0,2.2,45.9,0.9,1.7,51.7,0.8,1.9,39.2,0.5,1.1,42.1,1.8,4.6,38.4
Leonard Miller,MIN,21,0.4,0.9,50.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.0
Lester Quinones,PHI,24,1.0,1.0,100,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
Liam Robbins,MIL,25,0.1,0.3,25.0,0.1,0.1,100,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
Lindy Waters III,DET,27,0.4,0.6,62.5,0.1,0.3,41.7,0.1,0.3,18.2,0.1,0.1,75.0,0.4,1.6,24.2,0.9,2.4,38.7
Lonzo Ball,CHI,27,0.4,0.6,55.0,0.0,0.2,16.7,0.1,0.2,57.1,0.0,0.1,0.0,0.5,1.5,35.4,1.3,3.7,35.3
Luguentz Dort,OKC,25,0.9,1.6,56.1,0.0,0.3,13.3,0.2,0.4,47.6,0.1,0.3,43.8,1.0,2.0,50.0,1.2,3.5,34.8
Luka Dončić,LAL,25,2.5,3.2,78.5,1.4,2.9,47.2,1.6,3.2,50.6,0.6,1.5,36.8,0.4,1.8,25.0,2.5,7.0,35.6
Luka Garza,MIN,26,0.8,1.3,60.0,0.3,0.4,70.0,0.2,0.5,33.3,0.0,0.0,0.0,0.0,0.3,0.0,0.2,0.7,31.3
Luke Kennard,MEM,28,0.4,0.7,56.7,0.2,0.5,40.0,0.2,0.6,38.5,0.2,0.4,50.0,1.1,2.0,52.3,1.0,2.4,41.3
Luke Kornet,BOS,29,2.0,2.8,72.5,0.1,0.4,31.6,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke Travers,CLE,23,0.3,0.8,42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
Malaki Branham,SAS,21,0.6,0.9,64.3,0.1,0.4,27.3,0.2,0.5,38.5,0.1,0.3,33.3,0.3,0.7,40.9,0.4,1.0,38.7
Malcolm Brogdon,WAS,32,2.4,4.0,60.4,0.5,1.4,33.3,0.4,1.1,37.0,0.4,1.0,36.0,0.1,0.5,27.3,0.5,1.9,28.3
Malevy Leons,OKC,25,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
Malik Beasley,DET,28,0.8,1.3,58.1,0.5,1.0,48.3,0.2,0.6,33.3,0.3,0.6,52.9,1.4,3.1,44.2,2.5,6.3,40.6
Malik Monk,SAC,27,2.4,3.7,63.8,1.0,2.1,47.5,0.6,1.3,45.2,0.4,0.9,46.3,0.8,1.7,49.4,1.5,5.2,28.0
MarJon Beauchamp,LAC,24,0.3,0.4,63.6,0.0,0.2,20.0,0.1,0.1,100,0.1,0.2,25.0,0.2,0.7,25.0,0.2,0.5,41.7
Marcus Sasser,DET,24,0.6,0.9,63.2,0.3,0.5,57.9,0.3,0.5,52.2,0.1,0.3,41.7,0.4,0.9,47.2,0.6,1.9,34.2
Marcus Smart,WAS,30,0.6,1.1,57.1,0.5,1.5,31.0,0.1,0.3,16.7,0.2,0.2,75.0,0.6,2.0,30.8,0.9,2.5,36.7
Mark Williams,CHA,23,5.0,7.4,67.8,0.8,2.3,33.3,0.2,0.5,41.7,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Markelle Fultz,SAC,26,1.0,1.0,100,2.0,2.0,100,1.0,1.0,100,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Markieff Morris,LAL,35,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.8,16.7,0.2,0.2,100,0.1,1.2,8.3,0.4,1.0,40.0
Marvin Bagley III,MEM,25,1.6,2.1,73.8,0.2,0.7,28.6,0.1,0.3,20.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.4,25.0
Mason Jones,SAC,26,0.5,0.5,100,0.3,0.5,66.7,0.3,0.3,100,0.0,0.0,0.0,0.0,0.2,0.0,0.2,1.0,20.0
Mason Plumlee,PHX,34,1.4,2.0,69.8,0.1,0.5,23.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matas Buzelis,CHI,20,1.1,2.1,53.1,0.3,0.5,54.2,0.0,0.1,25.0,0.0,0.0,50.0,0.6,1.8,35.4,0.3,0.8,34.1
Matt Ryan,NYK,27,0.2,0.3,60.0,0.1,0.1,50.0,0.0,0.3,0.0,0.0,0.1,0.0,0.1,0.7,18.2,0.2,0.5,44.4
Max Christie,DAL,22,1.2,1.8,66.3,0.2,0.6,40.0,0.1,0.4,35.0,0.1,0.3,46.7,0.8,2.0,40.0,0.7,1.8,38.3
Max Strus,CLE,28,0.8,1.2,66.7,0.1,0.2,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.9,2.3,39.3,1.2,3.3,36.7
Maxi Kleber,LAL,33,0.4,0.8,55.6,0.1,0.3,30.0,0.0,0.1,50.0,0.1,0.2,80.0,0.2,0.8,23.1,0.2,0.8,30.8
Maxwell Lewis,BKN,22,0.2,0.3,66.7,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.1,0.0,0.1,0.1,100
Micah Potter,UTA,26,0.4,0.5,75.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.8,38.6,0.2,0.6,37.5
Michael Porter Jr.,DEN,26,3.0,4.0,75.0,0.5,1.2,46.8,0.3,0.5,50.0,0.3,0.8,39.5,1.2,2.6,46.4,1.7,4.5,39.0
Mikal Bridges,NYK,28,2.3,3.4,69.1,1.1,2.0,55.3,1.1,2.2,50.4,0.3,0.6,50.0,1.7,4.1,40.8,0.7,2.3,30.5
Mike Conley,MIN,37,0.4,0.8,45.9,0.3,0.8,33.3,0.2,0.6,29.6,0.0,0.1,0.0,0.9,2.1,40.8,0.9,2.6,35.0
Miles Bridges,CHA,26,3.5,5.8,60.8,1.3,3.2,39.7,0.2,0.5,38.1,0.1,0.4,35.7,0.8,2.6,32.4,1.3,4.3,30.6
Miles McBride,NYK,24,0.7,1.5,46.5,0.1,0.4,27.8,0.3,0.6,57.7,0.3,0.5,52.2,1.0,2.5,38.9,0.9,2.3,39.8
Mo Bamba,LAC,26,1.0,1.3,73.0,0.1,0.4,27.3,0.1,0.1,66.7,0.0,0.1,50.0,0.3,0.7,35.0,0.3,1.1,26.7
Monté Morris,PHX,29,0.4,0.7,57.1,0.3,0.7,48.1,0.2,0.6,30.4,0.2,0.4,56.3,0.4,1.2,32.7,0.2,0.7,28.6
Moritz Wagner,ORL,27,3.5,5.3,66.7,0.4,0.6,61.1,0.0,0.1,0.0,0.0,0.0,0.0,0.4,1.1,37.5,0.5,1.5,34.1
Moses Brown,DAL,25,1.4,1.9,76.5,0.1,0.4,33.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moses Moody,GSW,22,1.1,1.6,69.3,0.3,0.7,50.0,0.1,0.5,21.7,0.0,0.2,12.5,0.8,2.1,39.6,0.9,2.4,37.1
Mouhamed Gueye,ATL,22,1.3,1.8,75.0,0.4,1.0,37.5,0.2,0.4,50.0,0.0,0.0,0.0,0.3,2.3,14.3,0.1,0.8,14.3
Moussa Diabaté,CHA,23,1.9,3.0,63.2,0.2,0.4,55.6,0.0,0.2,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Myles Turner,IND,28,1.9,3.0,62.7,0.6,1.5,37.5,0.4,0.8,52.8,0.4,0.8,51.4,0.5,1.1,41.5,1.6,4.1,40.1
Nae'Qwan Tomlin,CLE,24,1.0,1.0,100,0.5,0.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Naji Marshall,DAL,27,1.8,2.8,63.9,1.1,2.0,56.2,0.4,0.8,54.3,0.2,0.2,87.5,0.7,1.9,36.5,0.3,0.9,29.3
Nate Williams,HOU,26,0.9,1.0,85.7,0.5,0.7,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.8,66.7,0.1,0.6,25.0
Naz Reid,MIN,25,2.1,3.3,63.7,0.9,2.0,46.5,0.2,0.4,47.6,0.0,0.0,50.0,0.9,2.0,42.9,1.3,3.4,39.2
Neemias Queta,BOS,25,2.0,3.0,67.8,0.3,0.4,58.8,0.1,0.1,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nic Claxton,BKN,25,3.2,4.8,68.0,0.8,2.0,37.9,0.4,0.8,43.6,0.1,0.3,23.1,0.0,0.2,9.1,0.0,0.1,0.0
Nick Richards,PHX,27,2.7,4.0,68.1,0.4,1.1,31.7,0.0,0.3,0.0,0.0,0.1,50.0,0.0,0.1,0.0,0.0,0.0,0.0
Nick Smith Jr.,CHA,20,0.4,0.6,59.1,0.5,1.2,39.5,0.7,1.2,54.8,0.3,0.7,36.4,0.4,1.1,31.6,1.2,3.4,35.1
Nickeil Alexander-Walker,MIN,26,0.9,1.5,59.8,0.2,0.5,33.3,0.2,0.5,39.3,0.1,0.2,66.7,1.1,2.5,45.1,0.7,2.0,35.1
Nicolas Batum,LAC,36,0.2,0.3,47.1,0.0,0.1,25.0,0.0,0.0,0.0,0.0,0.1,40.0,0.6,1.3,44.1,0.3,1.1,30.5
Nikola Jokić,DEN,30,5.3,7.6,69.4,2.8,5.0,56.8,0.6,1.4,42.9,0.4,0.8,53.7,0.4,0.8,51.3,1.7,3.6,47.5
